# overnight9h — variant srnn-sfa-e-only-skip (k=6)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1        +1.016           —           —     scalar
tau_d (s)                                 +0.1       +0.1041           0           0        300
tau_a_E (s)                            +4.8777       +4.8536       3.996       3.976        450
tau_a_I (s)                           +0.69315      +0.70424           0           0        450
tau_b_rec_E (s)                             +1        +1.016           0           0        150
tau_b_rel_E (s)                          +0.25        +0.254           0           0        150
tau_b_rec_I (s)                             +1        +1.016           0           0        150
tau_b_rel_I (s)                          +0.25        +0.254           0           0        150
W_eff (E src, signed)                 +0.23267       +0.2287     0.07641     0.07517      15048
W_eff (I src, signed)                 -0.31062       -0.3059     0.07724     0.07613      14977
|W_eff| (E src)                       +0.23267       +0.2287     0.07641     0.07517      15048
|W_eff| (I src)                       +0.31062       +0.3059     0.07724     0.07613      14977
W_in_eff (input neurons)           -0.00083129   -0.00069762     0.09974     0.09659       6675
c_E (SFA coupling)                       +0.05     +0.050765           0           0        450
c_0_E (SFA offset)                          +0     +0.023817           0           0        450
c_I (SFA coupling)                       +0.05         +0.05           0           0        450
c_0_I (SFA offset)                          +0            +0           0           0        450
a_0 (threshold)                          +0.35      +0.37963           0           0        300
readout_weight                       +0.001119   -0.00030331     0.06703     0.06107       6675
readout_bias                                +0   -0.00045903           0     0.00227         89
ic.ic (per-variant init)              +0.16079      +0.17861      0.4384      0.4194       1500
