# overnight9h — variant srnn-std-e-only-skip (k=7)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1      +0.79855           —           —     scalar
tau_d (s)                                 +0.1     +0.067139           0           0        300
tau_a_E (s)                           +0.69315      +0.55352           0           0        450
tau_a_I (s)                           +0.69315      +0.55352           0           0        450
tau_b_rec_E (s)                             +1       +0.7986           0           0        150
tau_b_rel_E (s)                          +0.25      +0.19626           0           0        150
tau_b_rec_I (s)                             +1      +0.79855           0           0        150
tau_b_rel_I (s)                          +0.25      +0.19964           0           0        150
W_eff (E src, signed)                 +0.23267       +0.2305     0.07641     0.07589      15048
W_eff (I src, signed)                 -0.31062      -0.30824     0.07724     0.07693      14977
|W_eff| (E src)                       +0.23267       +0.2305     0.07641     0.07589      15048
|W_eff| (I src)                       +0.31062      +0.30824     0.07724     0.07693      14977
W_in_eff (input neurons)            +0.0012099    +0.0048252     0.09923      0.1096       6675
c_E (SFA coupling)                       +0.05         +0.05           0           0        450
c_0_E (SFA offset)                          +0            +0           0           0        450
c_I (SFA coupling)                       +0.05         +0.05           0           0        450
c_0_I (SFA offset)                          +0            +0           0           0        450
a_0 (threshold)                          +0.35      +0.37122           0           0        300
readout_weight                     +0.00034909    -0.0058602     0.06671     0.06043       6675
readout_bias                                +0     +0.012499           0     0.01634         89
ic.ic (per-variant init)              +0.15334      +0.16026      0.4128      0.4104       1500
