# prod-1hr-b48-k6-bf16-lr5e4 — variant srnn-sfa-e-only-skip-per-neuron (k=3)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1      +0.58665           —           —     scalar
tau_d (s)                                 +0.1     +0.027612           0    0.003754        300
tau_a_E (s)                            +4.8777       +2.2891       3.996       1.882        450
tau_b_rec_E (s)                             +1      +0.58665           0           0        150
tau_b_rel_E (s)                          +0.25      +0.14666           0           0        150
W_eff (E src, signed)                 +0.23267      +0.22269     0.07641     0.07435      15048
W_eff (I src, signed)                 -0.31062      -0.29682     0.07724     0.07562      14977
|W_eff| (E src)                       +0.23267      +0.22269     0.07641     0.07435      15048
|W_eff| (I src)                       +0.31062      +0.29682     0.07724     0.07562      14977
W_in_eff (input neurons)            -0.0011621    -0.0024476     0.09962      0.0656       6675
c_E (SFA coupling)                       +0.05     +0.054701           0    0.008876        450
c_0_E (SFA offset)                          +0   -0.00043644           0      0.1036        450
a_0 (threshold)                          +0.35      +0.34929           0     0.08355        300
readout_weight                     +0.00016801    -0.0032955      0.0673     0.07105       6675
readout_bias                                +0     +0.045539           0     0.05694         89
ic.ic (per-variant init)              +0.09231      +0.09231      0.5294      0.5294        900
