# prod-1hr-b48-k6-bf16-lr5e4 — variant srnn-std-e-only-per-neuron (k=4)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1      +0.43615           —           —     scalar
tau_d (s)                                 +0.1     +0.012852           0    0.004471        300
tau_a_E (s)                           +0.69315      +0.30232           0           0        450
tau_b_rec_E (s)                             +1       +0.6102           0     0.08069        150
tau_b_rel_E (s)                          +0.25      +0.35639           0     0.05948        150
W_eff (E src, signed)                 +0.23267      +0.19455     0.07641     0.07003      15048
W_eff (I src, signed)                 -0.31062      -0.25558     0.07724     0.07187      14977
|W_eff| (E src)                       +0.23267      +0.19455     0.07641     0.07003      15048
|W_eff| (I src)                       +0.31062      +0.25558     0.07724     0.07187      14977
W_in_eff (input neurons)           +0.00019944   -0.00098555     0.09994     0.06439       6675
c_E (SFA coupling)                       +0.05         +0.05           0           0        450
c_0_E (SFA offset)                          +0            +0           0           0        450
a_0 (threshold)                          +0.35      -0.28501           0       0.129        300
readout_weight                     +0.00074661    +0.0058971     0.06657        0.23       6675
readout_bias                                +0     -0.090532           0      0.2547         89
ic.ic (per-variant init)             +0.090819     +0.090819      0.3835      0.3835        900
