epoch,variant,train_loss,train_metric,valid_loss,valid_metric,lr,timestamp
11,srnn-e-only-per-neuron,0.980228,0.758129,1.021046,0.771172,0.00050000,2026-05-02T00:54:53Z
11,srnn-e-only-skip-per-neuron,0.080667,0.212533,0.079140,0.210016,0.00050000,2026-05-02T00:54:53Z
11,srnn-sfa-e-only-per-neuron,0.990926,0.763280,1.031386,0.776199,0.00050000,2026-05-02T00:54:53Z
11,srnn-sfa-e-only-skip-per-neuron,0.080863,0.212864,0.079345,0.210366,0.00050000,2026-05-02T00:54:53Z
11,srnn-std-e-only-per-neuron,0.976435,0.759861,1.017483,0.773516,0.00050000,2026-05-02T00:54:53Z
11,srnn-std-e-only-skip-per-neuron,0.080683,0.212558,0.079156,0.210037,0.00050000,2026-05-02T00:54:53Z
23,srnn-e-only-per-neuron,0.942508,0.743636,0.987912,0.759437,0.00050000,2026-05-02T01:02:50Z
23,srnn-e-only-skip-per-neuron,0.079931,0.211375,0.078375,0.208853,0.00050000,2026-05-02T01:02:50Z
23,srnn-sfa-e-only-per-neuron,0.954923,0.749711,0.999558,0.764903,0.00050000,2026-05-02T01:02:50Z
23,srnn-sfa-e-only-skip-per-neuron,0.080736,0.212646,0.079206,0.210127,0.00050000,2026-05-02T01:02:50Z
23,srnn-std-e-only-per-neuron,0.933635,0.743437,0.982952,0.760582,0.00050000,2026-05-02T01:02:50Z
23,srnn-std-e-only-skip-per-neuron,0.080367,0.212058,0.078789,0.209499,0.00050000,2026-05-02T01:02:50Z
35,srnn-e-only-per-neuron,0.903137,0.729255,0.953615,0.747679,0.00050000,2026-05-02T01:10:46Z
35,srnn-e-only-skip-per-neuron,0.077917,0.208356,0.076716,0.206482,0.00050000,2026-05-02T01:10:46Z
35,srnn-sfa-e-only-per-neuron,0.919989,0.736987,0.973201,0.756137,0.00050000,2026-05-02T01:10:46Z
35,srnn-sfa-e-only-skip-per-neuron,0.080704,0.212589,0.079169,0.210064,0.00050000,2026-05-02T01:10:46Z
35,srnn-std-e-only-per-neuron,0.901534,0.730957,0.960731,0.752582,0.00050000,2026-05-02T01:10:46Z
35,srnn-std-e-only-skip-per-neuron,0.078418,0.209090,0.077115,0.207044,0.00050000,2026-05-02T01:10:46Z
47,srnn-e-only-per-neuron,0.866859,0.715631,0.917569,0.734978,0.00050000,2026-05-02T01:18:42Z
47,srnn-e-only-skip-per-neuron,0.075667,0.205223,0.074717,0.203657,0.00050000,2026-05-02T01:18:42Z
47,srnn-sfa-e-only-per-neuron,0.886243,0.724600,0.945477,0.746284,0.00050000,2026-05-02T01:18:42Z
