# prod-1hr-b48-k6-bf16 — variant srnn-sfa-e-only-per-neuron (k=2)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1      +0.86885           —           —     scalar
tau_d (s)                                 +0.1     +0.068555           0    0.003936        300
tau_a_E (s)                            +4.8777       +3.9551       3.996       3.244        450
tau_b_rec_E (s)                             +1      +0.86885           0           0        150
tau_b_rel_E (s)                          +0.25      +0.21721           0           0        150
W_eff (E src, signed)                 +0.23267      +0.22467     0.07641     0.07414      15048
W_eff (I src, signed)                 -0.31062      -0.29933     0.07724     0.07477      14977
|W_eff| (E src)                       +0.23267      +0.22467     0.07641     0.07414      15048
|W_eff| (I src)                       +0.31062      +0.29933     0.07724     0.07477      14977
W_in_eff (input neurons)           -0.00015382   -2.4072e-05     0.09934      0.1176       6675
c_E (SFA coupling)                       +0.05     +0.051522           0    0.001539        450
c_0_E (SFA offset)                          +0     -0.027567           0     0.03823        450
a_0 (threshold)                          +0.35      +0.34634           0      0.0325        300
readout_weight                     -0.00098972   +0.00088098     0.06678      0.0803       6675
readout_bias                                +0    -0.0010009           0     0.02886         89
ic.ic (per-variant init)              +0.13078      +0.13078      0.4172      0.4172        900
