# prod-1hr-b48-k6-bf16 — variant srnn-sfa-e-only-skip-per-neuron (k=3)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1        +1.024           —           —     scalar
tau_d (s)                                 +0.1      +0.10643           0    0.001852        300
tau_a_E (s)                            +4.8777       +4.8957       3.996       4.014        450
tau_b_rec_E (s)                             +1        +1.024           0           0        150
tau_b_rel_E (s)                          +0.25      +0.25599           0           0        150
W_eff (E src, signed)                 +0.23267      +0.22905     0.07641     0.07524      15048
W_eff (I src, signed)                 -0.31062      -0.30623     0.07724     0.07617      14977
|W_eff| (E src)                       +0.23267      +0.22905     0.07641     0.07524      15048
|W_eff| (I src)                       +0.31062      +0.30623     0.07724     0.07617      14977
W_in_eff (input neurons)            -0.0011621   -0.00078498     0.09962     0.09376       6675
c_E (SFA coupling)                       +0.05      +0.05166           0   0.0006848        450
c_0_E (SFA offset)                          +0     +0.040759           0     0.01187        450
a_0 (threshold)                          +0.35       +0.3793           0     0.02108        300
readout_weight                     +0.00016801   -0.00022955      0.0673     0.06042       6675
readout_bias                                +0   -0.00013023           0     0.00185         89
ic.ic (per-variant init)              +0.09231      +0.09231      0.5294      0.5294        900
