# prod-1hr-b48-k6-bf16 — variant srnn-std-e-only-per-neuron (k=4)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1      +0.84706           —           —     scalar
tau_d (s)                                 +0.1     +0.062714           0    0.005576        300
tau_a_E (s)                           +0.69315      +0.58714           0           0        450
tau_b_rec_E (s)                             +1      +0.74452           0     0.03208        150
tau_b_rel_E (s)                          +0.25      +0.27741           0     0.01408        150
W_eff (E src, signed)                 +0.23267      +0.27438     0.07641     0.09116      15048
W_eff (I src, signed)                 -0.31062      -0.36304     0.07724      0.0915      14977
|W_eff| (E src)                       +0.23267      +0.27438     0.07641     0.09116      15048
|W_eff| (I src)                       +0.31062      +0.36304     0.07724      0.0915      14977
W_in_eff (input neurons)           +0.00019944   -0.00017918     0.09994      0.1175       6675
c_E (SFA coupling)                       +0.05         +0.05           0           0        450
c_0_E (SFA offset)                          +0            +0           0           0        450
a_0 (threshold)                          +0.35      +0.18151           0     0.05688        300
readout_weight                     +0.00074661    +0.0080122     0.06657     0.09976       6675
readout_bias                                +0      -0.01502           0     0.09724         89
ic.ic (per-variant init)             +0.090819     +0.090819      0.3835      0.3835        900
