epoch,variant,train_loss,train_metric,valid_loss,valid_metric,lr,timestamp
11,srnn-e-only-per-neuron,0.998611,0.766207,1.040284,0.779387,0.00010000,2026-05-01T23:28:53Z
11,srnn-e-only-skip-per-neuron,0.080786,0.212728,0.079244,0.210182,0.00010000,2026-05-01T23:28:53Z
11,srnn-sfa-e-only-per-neuron,1.000570,0.767278,1.042454,0.780591,0.00010000,2026-05-01T23:28:53Z
11,srnn-sfa-e-only-skip-per-neuron,0.082048,0.214739,0.080496,0.212226,0.00010000,2026-05-01T23:28:53Z
11,srnn-std-e-only-per-neuron,0.998647,0.766728,1.040225,0.779918,0.00010000,2026-05-01T23:28:53Z
11,srnn-std-e-only-skip-per-neuron,0.080819,0.212782,0.079276,0.210245,0.00010000,2026-05-01T23:28:53Z
23,srnn-e-only-per-neuron,0.994216,0.763779,1.035240,0.776714,0.00010000,2026-05-01T23:36:57Z
23,srnn-e-only-skip-per-neuron,0.080725,0.212626,0.079187,0.210088,0.00010000,2026-05-01T23:36:57Z
23,srnn-sfa-e-only-per-neuron,0.999203,0.766708,1.040999,0.779995,0.00010000,2026-05-01T23:36:57Z
23,srnn-sfa-e-only-skip-per-neuron,0.081282,0.213539,0.079780,0.211096,0.00010000,2026-05-01T23:36:57Z
23,srnn-std-e-only-per-neuron,0.993938,0.765700,1.034989,0.778879,0.00010000,2026-05-01T23:36:57Z
23,srnn-std-e-only-skip-per-neuron,0.080740,0.212654,0.079199,0.210117,0.00010000,2026-05-01T23:36:57Z
35,srnn-e-only-per-neuron,0.988943,0.761558,1.029983,0.774600,0.00010000,2026-05-01T23:44:57Z
35,srnn-e-only-skip-per-neuron,0.080702,0.212586,0.079168,0.210056,0.00010000,2026-05-01T23:44:57Z
35,srnn-sfa-e-only-per-neuron,0.996859,0.765675,1.038643,0.778993,0.00010000,2026-05-01T23:44:57Z
35,srnn-sfa-e-only-skip-per-neuron,0.081031,0.213137,0.079525,0.210675,0.00010000,2026-05-01T23:44:57Z
35,srnn-std-e-only-per-neuron,0.986477,0.763558,1.027941,0.777115,0.00010000,2026-05-01T23:44:57Z
35,srnn-std-e-only-skip-per-neuron,0.080711,0.212602,0.079173,0.210069,0.00010000,2026-05-01T23:44:57Z
47,srnn-e-only-per-neuron,0.983144,0.759251,1.024711,0.772570,0.00010000,2026-05-01T23:52:54Z
47,srnn-e-only-skip-per-neuron,0.080678,0.212551,0.079147,0.210027,0.00010000,2026-05-01T23:52:54Z
47,srnn-sfa-e-only-per-neuron,0.991594,0.763467,1.033234,0.776824,0.00010000,2026-05-01T23:52:54Z
47,srnn-sfa-e-only-skip-per-neuron,0.080907,0.212936,0.079396,0.210454,0.00010000,2026-05-01T23:52:54Z
47,srnn-std-e-only-per-neuron,0.978957,0.760935,1.021492,0.775057,0.00010000,2026-05-01T23:52:54Z
47,srnn-std-e-only-skip-per-neuron,0.080694,0.212576,0.079160,0.210044,0.00010000,2026-05-01T23:52:54Z
59,srnn-e-only-per-neuron,0.976328,0.756504,1.019314,0.770436,0.00010000,2026-05-02T00:00:47Z
59,srnn-e-only-skip-per-neuron,0.080606,0.212437,0.079085,0.209940,0.00010000,2026-05-02T00:00:47Z
59,srnn-sfa-e-only-per-neuron,0.983420,0.760401,1.025358,0.774019,0.00010000,2026-05-02T00:00:47Z
59,srnn-sfa-e-only-skip-per-neuron,0.080822,0.212799,0.079319,0.210323,0.00010000,2026-05-02T00:00:47Z
59,srnn-std-e-only-per-neuron,0.970947,0.757983,1.015071,0.772810,0.00010000,2026-05-02T00:00:47Z
59,srnn-std-e-only-skip-per-neuron,0.080663,0.212527,0.079144,0.210017,0.00010000,2026-05-02T00:00:47Z
71,srnn-e-only-per-neuron,0.969654,0.753847,1.013619,0.768303,0.00010000,2026-05-02T00:08:39Z
71,srnn-e-only-skip-per-neuron,0.080495,0.212256,0.078954,0.209741,0.00010000,2026-05-02T00:08:39Z
71,srnn-sfa-e-only-per-neuron,0.975544,0.757419,1.017689,0.771340,0.00010000,2026-05-02T00:08:39Z
71,srnn-sfa-e-only-skip-per-neuron,0.080790,0.212739,0.079270,0.210238,0.00010000,2026-05-02T00:08:39Z
71,srnn-std-e-only-per-neuron,0.963097,0.755035,1.008232,0.770344,0.00010000,2026-05-02T00:08:39Z
71,srnn-std-e-only-skip-per-neuron,0.080618,0.212452,0.079087,0.209928,0.00010000,2026-05-02T00:08:39Z
83,srnn-e-only-per-neuron,0.962505,0.751069,1.007674,0.766150,0.00010000,2026-05-02T00:16:30Z
83,srnn-e-only-skip-per-neuron,0.080287,0.211928,0.078740,0.209407,0.00010000,2026-05-02T00:16:30Z
