# lr3e4-20ep — variant srnn-no-adapt-no-dales-skip (k=4)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1       +1.0135           —           —     scalar
tau_d (s)                                 +0.1      +0.10354           0           0        300
tau_a_E (s)                           +0.69315      +0.70252           0           0        450
tau_a_I (s)                           +0.69315      +0.70252           0           0        450
tau_b_rec_E (s)                             +1       +1.0135           0           0        150
tau_b_rel_E (s)                          +0.25      +0.25338           0           0        150
tau_b_rec_I (s)                             +1       +1.0135           0           0        150
tau_b_rel_I (s)                          +0.25      +0.25338           0           0        150
W_eff (E src, signed)                  +0.2326      +0.23018     0.07663     0.07643      15048
W_eff (I src, signed)                 -0.31062      -0.30855     0.07727       0.077      14977
|W_eff| (E src)                       +0.23267      +0.23024     0.07641     0.07624      15048
|W_eff| (I src)                       +0.31062      +0.30856     0.07724     0.07698      14977
W_in_eff (input neurons)           +0.00019944   +0.00032314     0.09994     0.09709       6675
c_E (SFA coupling)                       +0.05         +0.05           0           0        450
c_0_E (SFA offset)                          +0            +0           0           0        450
c_I (SFA coupling)                       +0.05         +0.05           0           0        450
c_0_I (SFA offset)                          +0            +0           0           0        450
a_0 (threshold)                          +0.35      +0.36142           0           0        300
readout_weight                     +0.00079717    +0.0005836     0.06573     0.06295       6675
readout_bias                                +0   -0.00017099           0    0.006122         89
ic.ic (per-variant init)              +0.14435      +0.15979      0.4566      0.4303       1500
