# lr3e4-20ep — variant srnn-sfa-e-only-skip (k=6)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1       +1.0113           —           —     scalar
tau_d (s)                                 +0.1      +0.10289           0           0        300
tau_a_E (s)                            +4.8777       +4.8623       3.996       3.983        450
tau_a_I (s)                           +0.69315        +0.701           0           0        450
tau_b_rec_E (s)                             +1       +1.0113           0           0        150
tau_b_rel_E (s)                          +0.25      +0.25283           0           0        150
tau_b_rec_I (s)                             +1       +1.0113           0           0        150
tau_b_rel_I (s)                          +0.25      +0.25283           0           0        150
W_eff (E src, signed)                 +0.23267      +0.22953     0.07641     0.07543      15048
W_eff (I src, signed)                 -0.31062      -0.30688     0.07724     0.07632      14977
|W_eff| (E src)                       +0.23267      +0.22953     0.07641     0.07543      15048
|W_eff| (I src)                       +0.31062      +0.30688     0.07724     0.07632      14977
W_in_eff (input neurons)           -0.00083129   -0.00065163     0.09974     0.09748       6675
c_E (SFA coupling)                       +0.05     +0.050589           0           0        450
c_0_E (SFA offset)                          +0     +0.014862           0           0        450
c_I (SFA coupling)                       +0.05         +0.05           0           0        450
c_0_I (SFA offset)                          +0            +0           0           0        450
a_0 (threshold)                          +0.35      +0.36598           0           0        300
readout_weight                       +0.001119   +0.00010576     0.06703     0.06326       6675
readout_bias                                +0    -0.0010375           0    0.007758         89
ic.ic (per-variant init)              +0.16079      +0.17166      0.4384      0.4265       1500
