# lr3e4-20ep — variant srnn-std-e-only-skip (k=7)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1      +0.99784           —           —     scalar
tau_d (s)                                 +0.1      +0.10125           0           0        300
tau_a_E (s)                           +0.69315      +0.69165           0           0        450
tau_a_I (s)                           +0.69315      +0.69165           0           0        450
tau_b_rec_E (s)                             +1       +1.0113           0           0        150
tau_b_rel_E (s)                          +0.25      +0.24593           0           0        150
tau_b_rec_I (s)                             +1      +0.99784           0           0        150
tau_b_rel_I (s)                          +0.25      +0.24946           0           0        150
W_eff (E src, signed)                 +0.23267      +0.22874     0.07641     0.07516      15048
W_eff (I src, signed)                 -0.31062      -0.30623     0.07724     0.07618      14977
|W_eff| (E src)                       +0.23267      +0.22874     0.07641     0.07516      15048
|W_eff| (I src)                       +0.31062      +0.30623     0.07724     0.07618      14977
W_in_eff (input neurons)            +0.0012099    +0.0015692     0.09923      0.0971       6675
c_E (SFA coupling)                       +0.05         +0.05           0           0        450
c_0_E (SFA offset)                          +0            +0           0           0        450
c_I (SFA coupling)                       +0.05         +0.05           0           0        450
c_0_I (SFA offset)                          +0            +0           0           0        450
a_0 (threshold)                          +0.35       +0.3683           0           0        300
readout_weight                     +0.00034909   +0.00053166     0.06671     0.06064       6675
readout_bias                                +0    -0.0004303           0    0.005114         89
ic.ic (per-variant init)              +0.15334      +0.15985      0.4128      0.4103       1500
