# overnight-cl250 — variant srnn-std-e-only-per-neuron (k=4)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1      +0.79317           —           —     scalar
tau_d (s)                                 +0.1     +0.052401           0    0.007879        300
tau_a_E (s)                           +0.69315      +0.54978           0           0        450
tau_b_rec_E (s)                             +1      +0.49281           0     0.03874        150
tau_b_rel_E (s)                          +0.25      +0.32451           0     0.03178        150
W_eff (E src, signed)                 +0.23267      +0.27677     0.07641     0.09482      15048
W_eff (I src, signed)                 -0.31062      -0.36449     0.07724     0.09683      14977
|W_eff| (E src)                       +0.23267      +0.27677     0.07641     0.09482      15048
|W_eff| (I src)                       +0.31062      +0.36449     0.07724     0.09683      14977
W_in_eff (input neurons)           +0.00019944   -0.00091659     0.09994      0.1406       6675
c_E (SFA coupling)                       +0.05         +0.05           0           0        450
c_0_E (SFA offset)                          +0            +0           0           0        450
a_0 (threshold)                          +0.35      +0.22171           0     0.08034        300
readout_weight                     +0.00074661    +0.0096444     0.06657      0.1413       6675
readout_bias                                +0     -0.022083           0      0.1547         89
ic.ic (per-variant init)             +0.087739     +0.028283      0.3868      0.4661        900
