# overnight9h — variant srnn-e-only-skip-echo (k=2)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1       +0.7898           —           —     scalar
tau_d (s)                                 +0.1     +0.066188           0           0        300
tau_a_E (s)                            +4.8777        +3.637       3.996       2.979        450
tau_a_I (s)                           +0.69315      +0.54745           0           0        450
tau_b_rec_E (s)                             +1      +0.79227           0           0        150
tau_b_rel_E (s)                          +0.25      +0.19272           0           0        150
tau_b_rec_I (s)                             +1       +0.7898           0           0        150
tau_b_rel_I (s)                          +0.25      +0.19745           0           0        150
W_eff (E src, signed)                 +0.23267      +0.22739     0.07641     0.07468      15048
W_eff (I src, signed)                 -0.31062      -0.30357     0.07724     0.07549      14977
|W_eff| (E src)                       +0.23267      +0.22739     0.07641     0.07468      15048
|W_eff| (I src)                       +0.31062      +0.30357     0.07724     0.07549      14977
W_in_eff (input neurons)           -0.00015382    +0.0030492     0.09934      0.1059       6675
c_E (SFA coupling)                       +0.05     +0.051541           0           0        450
c_0_E (SFA offset)                          +0     +0.027732           0           0        450
c_I (SFA coupling)                       +0.05         +0.05           0           0        450
c_0_I (SFA offset)                          +0            +0           0           0        450
a_0 (threshold)                          +0.35      +0.37416           0           0        300
readout_weight                     -0.00011373    -0.0096042     0.06687     0.05935       6675
readout_bias                                +0     +0.010302           0     0.01316         89
ic.ic (per-variant init)              +0.15962      +0.17629      0.4124      0.4045       1500
