# overnight9h — variant srnn-e-only-skip (k=0)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1      +0.79508           —           —     scalar
tau_d (s)                                 +0.1     +0.065561           0           0        300
tau_a_E (s)                            +4.8777       +3.6887       3.996       3.022        450
tau_a_I (s)                           +0.69315      +0.55111           0           0        450
tau_b_rec_E (s)                             +1      +0.78867           0           0        150
tau_b_rel_E (s)                          +0.25      +0.19556           0           0        150
tau_b_rec_I (s)                             +1      +0.79508           0           0        150
tau_b_rel_I (s)                          +0.25      +0.19877           0           0        150
W_eff (E src, signed)                 +0.23267      +0.23063     0.07641       0.076      15048
W_eff (I src, signed)                 -0.31062      -0.30818     0.07724     0.07696      14977
|W_eff| (E src)                       +0.23267      +0.23063     0.07641       0.076      15048
|W_eff| (I src)                       +0.31062      +0.30818     0.07724     0.07696      14977
W_in_eff (input neurons)            -0.0003386    +0.0037668      0.1012      0.1113       6675
c_E (SFA coupling)                       +0.05     +0.051138           0           0        450
c_0_E (SFA offset)                          +0     +0.021846           0           0        450
c_I (SFA coupling)                       +0.05         +0.05           0           0        450
c_0_I (SFA offset)                          +0            +0           0           0        450
a_0 (threshold)                          +0.35      +0.36556           0           0        300
readout_weight                     -0.00041422    -0.0076553     0.06568      0.0598       6675
readout_bias                                +0     +0.012703           0     0.01728         89
ic.ic (per-variant init)              +0.15932      +0.17372      0.4111      0.4079       1500
