# overnight9h — variant srnn-no-adapt-no-dales-skip (k=4)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1       +1.0121           —           —     scalar
tau_d (s)                                 +0.1      +0.10317           0           0        300
tau_a_E (s)                           +0.69315      +0.70155           0           0        450
tau_a_I (s)                           +0.69315      +0.70155           0           0        450
tau_b_rec_E (s)                             +1       +1.0121           0           0        150
tau_b_rel_E (s)                          +0.25      +0.25303           0           0        150
tau_b_rec_I (s)                             +1       +1.0121           0           0        150
tau_b_rel_I (s)                          +0.25      +0.25303           0           0        150
W_eff (E src, signed)                  +0.2326      +0.23059     0.07663     0.07752      15048
W_eff (I src, signed)                 -0.31062      -0.30708     0.07727     0.08045      14977
|W_eff| (E src)                       +0.23267      +0.23066     0.07641     0.07732      15048
|W_eff| (I src)                       +0.31062      +0.30716     0.07724     0.08013      14977
W_in_eff (input neurons)           +0.00019944    +0.0007215     0.09994     0.09496       6675
c_E (SFA coupling)                       +0.05         +0.05           0           0        450
c_0_E (SFA offset)                          +0            +0           0           0        450
c_I (SFA coupling)                       +0.05         +0.05           0           0        450
c_0_I (SFA offset)                          +0            +0           0           0        450
a_0 (threshold)                          +0.35      +0.36811           0           0        300
readout_weight                     +0.00079717   +0.00042102     0.06573     0.06185       6675
readout_bias                                +0    +0.0006623           0    0.002357         89
ic.ic (per-variant init)              +0.14435      +0.16403      0.4566      0.4252       1500
