epoch,variant,train_loss,train_metric,valid_loss,valid_metric,lr,timestamp
0,srnn-e-only-skip,0.081684,0.214149,0.080185,0.211707,0.00002779,2026-04-27T03:05:54Z
0,srnn-e-only-skip-per-neuron,0.081759,0.214388,0.080147,0.211718,0.00002779,2026-04-27T03:05:54Z
0,srnn-e-only-skip-echo,0.081992,0.214811,0.080462,0.212306,0.00002779,2026-04-27T03:05:54Z
0,srnn-no-dales-skip,0.082575,0.215598,0.081018,0.213061,0.00002779,2026-04-27T03:05:54Z
0,srnn-no-adapt-no-dales-skip,0.103509,0.245485,0.102227,0.243732,0.00002779,2026-04-27T03:05:54Z
0,srnn-skip,0.082379,0.215218,0.080902,0.212823,0.00002779,2026-04-27T03:05:54Z
0,srnn-sfa-e-only-skip,0.094521,0.233559,0.092306,0.230461,0.00002779,2026-04-27T03:05:54Z
0,srnn-std-e-only-skip,0.082152,0.215014,0.080549,0.212377,0.00002779,2026-04-27T03:05:54Z
1,srnn-e-only-skip,0.081659,0.214109,0.080139,0.211632,0.00005556,2026-04-27T03:11:18Z
1,srnn-e-only-skip-per-neuron,0.081722,0.214326,0.080088,0.211619,0.00005556,2026-04-27T03:11:18Z
1,srnn-e-only-skip-echo,0.081962,0.214761,0.080416,0.212226,0.00005556,2026-04-27T03:11:18Z
1,srnn-no-dales-skip,0.082487,0.215458,0.080872,0.212825,0.00005556,2026-04-27T03:11:18Z
1,srnn-no-adapt-no-dales-skip,0.101993,0.243446,0.099263,0.239803,0.00005556,2026-04-27T03:11:18Z
1,srnn-skip,0.082333,0.215146,0.080821,0.212694,0.00005556,2026-04-27T03:11:18Z
1,srnn-sfa-e-only-skip,0.094022,0.232869,0.091564,0.229379,0.00005556,2026-04-27T03:11:18Z
1,srnn-std-e-only-skip,0.082113,0.214950,0.080486,0.212272,0.00005556,2026-04-27T03:11:18Z
2,srnn-e-only-skip,0.081605,0.214022,0.080067,0.211513,0.00008334,2026-04-27T03:16:41Z
2,srnn-e-only-skip-per-neuron,0.081646,0.214198,0.079999,0.211471,0.00008334,2026-04-27T03:16:41Z
2,srnn-e-only-skip-echo,0.081902,0.214660,0.080341,0.212097,0.00008334,2026-04-27T03:16:41Z
2,srnn-no-dales-skip,0.082311,0.215173,0.080655,0.212475,0.00008334,2026-04-27T03:16:41Z
2,srnn-no-adapt-no-dales-skip,0.099030,0.239456,0.095518,0.234681,0.00008334,2026-04-27T03:16:41Z
2,srnn-skip,0.082233,0.214992,0.080692,0.212489,0.00008334,2026-04-27T03:16:41Z
2,srnn-sfa-e-only-skip,0.092978,0.231363,0.090400,0.227679,0.00008334,2026-04-27T03:16:41Z
2,srnn-std-e-only-skip,0.082031,0.214815,0.080390,0.212111,0.00008334,2026-04-27T03:16:41Z
3,srnn-e-only-skip,0.081530,0.213904,0.079978,0.211367,0.00011112,2026-04-27T03:22:05Z
3,srnn-e-only-skip-per-neuron,0.081541,0.214021,0.079889,0.211286,0.00011112,2026-04-27T03:22:05Z
3,srnn-e-only-skip-echo,0.081815,0.214511,0.080245,0.211933,0.00011112,2026-04-27T03:22:05Z
3,srnn-no-dales-skip,0.082079,0.214804,0.080408,0.212077,0.00011112,2026-04-27T03:22:05Z
3,srnn-no-adapt-no-dales-skip,0.095284,0.234337,0.091118,0.228380,0.00011112,2026-04-27T03:22:05Z
3,srnn-skip,0.082095,0.214778,0.080533,0.212237,0.00011112,2026-04-27T03:22:05Z
3,srnn-sfa-e-only-skip,0.091580,0.229349,0.089172,0.225840,0.00011112,2026-04-27T03:22:05Z
