epoch,variant,train_loss,train_metric,valid_loss,valid_metric,lr,timestamp
4,srnn-no-dales-skip-seed1,0.099392,0.208194,0.094880,0.200135,0.00050000,2026-08-27T18:30:31Z
4,srnn-no-dales-skip-seed2,0.099364,0.210546,0.094282,0.202336,0.00050000,2026-08-27T18:30:31Z
4,srnn-no-dales-skip-seed3,0.097999,0.209016,0.094110,0.202215,0.00050000,2026-08-27T18:30:31Z
4,srnn-no-dales-skip-seed4,0.097850,0.207593,0.093481,0.199469,0.00050000,2026-08-27T18:30:31Z
4,srnn-no-dales-skip-seed5,0.101875,0.216092,0.097096,0.207875,0.00050000,2026-08-27T18:30:31Z
4,srnn-no-adapt-no-dales-skip-seed1,0.113314,0.234766,0.112281,0.232974,0.00050000,2026-08-27T18:30:31Z
4,srnn-no-adapt-no-dales-skip-seed2,0.114363,0.237709,0.113422,0.235955,0.00050000,2026-08-27T18:30:31Z
4,srnn-no-adapt-no-dales-skip-seed3,0.114302,0.235459,0.113427,0.233697,0.00050000,2026-08-27T18:30:31Z
4,srnn-no-adapt-no-dales-skip-seed4,0.115647,0.238989,0.115220,0.238231,0.00050000,2026-08-27T18:30:31Z
4,srnn-no-adapt-no-dales-skip-seed5,0.116245,0.239959,0.115892,0.239291,0.00050000,2026-08-27T18:30:31Z
9,srnn-no-dales-skip-seed1,0.066370,0.148585,0.064753,0.145712,0.00050000,2026-08-27T18:32:55Z
9,srnn-no-dales-skip-seed2,0.067701,0.155656,0.065803,0.151940,0.00050000,2026-08-27T18:32:55Z
9,srnn-no-dales-skip-seed3,0.067939,0.151658,0.066089,0.148020,0.00050000,2026-08-27T18:32:55Z
9,srnn-no-dales-skip-seed4,0.067019,0.151238,0.065419,0.148181,0.00050000,2026-08-27T18:32:55Z
9,srnn-no-dales-skip-seed5,0.066481,0.150144,0.064921,0.146868,0.00050000,2026-08-27T18:32:55Z
9,srnn-no-adapt-no-dales-skip-seed1,0.087876,0.187552,0.083465,0.180036,0.00050000,2026-08-27T18:32:55Z
9,srnn-no-adapt-no-dales-skip-seed2,0.085527,0.187216,0.081357,0.179879,0.00050000,2026-08-27T18:32:55Z
9,srnn-no-adapt-no-dales-skip-seed3,0.103301,0.216927,0.101502,0.214521,0.00050000,2026-08-27T18:32:55Z
9,srnn-no-adapt-no-dales-skip-seed4,0.103700,0.216921,0.101483,0.212619,0.00050000,2026-08-27T18:32:55Z
9,srnn-no-adapt-no-dales-skip-seed5,0.104987,0.223792,0.102582,0.220745,0.00050000,2026-08-27T18:32:55Z
14,srnn-no-dales-skip-seed1,0.058182,0.135205,0.056981,0.132724,0.00050000,2026-08-27T18:35:18Z
14,srnn-no-dales-skip-seed2,0.057762,0.137627,0.056609,0.135287,0.00050000,2026-08-27T18:35:18Z
14,srnn-no-dales-skip-seed3,0.059909,0.136932,0.058890,0.134490,0.00050000,2026-08-27T18:35:18Z
14,srnn-no-dales-skip-seed4,0.059377,0.136609,0.058341,0.134266,0.00050000,2026-08-27T18:35:18Z
14,srnn-no-dales-skip-seed5,0.059419,0.135517,0.058406,0.133345,0.00050000,2026-08-27T18:35:18Z
