# ring6-400e — variant srnn-no-adapt-no-dales-skip (k=3)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1      +0.64821           —           —     scalar
tau_d (s)                                 +0.1     +0.034793           0           0        300
tau_b_rec_E (s)                             +1      +0.64821           0           0        150
tau_b_rel_E (s)                          +0.25      +0.16205           0           0        150
tau_b_rec_I (s)                             +1      +0.64821           0           0        150
tau_b_rel_I (s)                          +0.25      +0.16205           0           0        150
W_eff (E src, signed)                  +0.2326      +0.33374     0.07663      0.1849      15048
W_eff (I src, signed)                 -0.31062      -0.45023     0.07727      0.2228      14977
|W_eff| (E src)                       +0.23267      +0.34538     0.07641      0.1622      15048
|W_eff| (I src)                       +0.31062      +0.45904     0.07724      0.2041      14977
W_in_eff (input neurons)            +0.0028809      +0.00338      0.1007      0.1897       1275
a_0 (threshold)                          +0.35       +0.3357           0           0        300
W_out_eff (readout × gain)          +0.0003819    +0.0081736      0.0651      0.3561       1275
readout_bias                                +0        -0.031           0      0.1233         17
ic.ic (per-variant init)              +0.13418      +0.13418      0.4813      0.4813       1500
