# ring6-400e — variant srnn-no-adapt-no-dales (k=0)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1      +0.67424           —           —     scalar
tau_d (s)                                 +0.1     +0.038251           0           0        300
tau_b_rec_E (s)                             +1      +0.67424           0           0        150
tau_b_rel_E (s)                          +0.25      +0.16856           0           0        150
tau_b_rec_I (s)                             +1      +0.67424           0           0        150
tau_b_rel_I (s)                          +0.25      +0.16856           0           0        150
W_eff (E src, signed)                  +0.2326      +0.23755     0.07663      0.1367      15048
W_eff (I src, signed)                 -0.31062      -0.31561     0.07727      0.1617      14977
|W_eff| (E src)                       +0.23267       +0.2471     0.07641      0.1186      15048
|W_eff| (I src)                       +0.31062      +0.32459     0.07724      0.1429      14977
W_in_eff (input neurons)            +0.0038159    -0.0053236      0.1019      0.2185       1275
a_0 (threshold)                          +0.35       +0.3017           0           0        300
W_out_eff (readout × gain)          +0.0011253     -0.010918     0.06572      0.3555       1275
readout_bias                                +0     +0.063545           0      0.1212         17
ic.ic (per-variant init)              +0.13192      +0.13192      0.5265      0.5265       1500
