# ring6-400e — variant srnn-no-adapt (k=1)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1      +0.64079           —           —     scalar
tau_d (s)                                 +0.1     +0.034076           0           0        300
tau_b_rec_E (s)                             +1      +0.64079           0           0        150
tau_b_rel_E (s)                          +0.25       +0.1602           0           0        150
tau_b_rec_I (s)                             +1      +0.64079           0           0        150
tau_b_rel_I (s)                          +0.25       +0.1602           0           0        150
W_eff (E src, signed)                 +0.23267      +0.21199     0.07641     0.08059      15048
W_eff (I src, signed)                 -0.31062      -0.28378     0.07724     0.09891      14977
|W_eff| (E src)                       +0.23267      +0.21199     0.07641     0.08059      15048
|W_eff| (I src)                       +0.31062      +0.28378     0.07724     0.09891      14977
W_in_eff (input neurons)           +0.00075891    -0.0015403      0.1012      0.2295       1275
a_0 (threshold)                          +0.35      +0.27806           0           0        300
W_out_eff (readout × gain)          +0.0034456    -0.0094228     0.06605      0.4501       1275
readout_bias                                +0     +0.013928           0      0.2061         17
ic.ic (per-variant init)              +0.13096      +0.13096      0.4725      0.4725       1500
