# ring6-400e — variant srnn-skip (k=5)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1      +0.67934           —           —     scalar
tau_d (s)                                 +0.1     +0.039279           0           0        300
tau_a_E[j=0] (s)                         +0.25       +0.0314           0           0        150
tau_a_E[j=1] (s)                       +1.5896      +0.19965           0           0        150
tau_a_E[j=2] (s)                            +4      +0.50241           0           0        150
tau_a_I[j=0] (s)                         +0.25      +0.12391           0           0        150
tau_a_I[j=1] (s)                       +1.5896      +0.78789           0           0        150
tau_a_I[j=2] (s)                            +4       +1.9826           0           0        150
tau_b_rec_E (s)                             +1      +0.40795           0           0        150
tau_b_rel_E (s)                          +0.25      +0.26933           0           0        150
tau_b_rec_I (s)                             +1      +0.43798           0           0        150
tau_b_rel_I (s)                          +0.25      +0.24543           0           0        150
W_eff (E src, signed)                 +0.23267      +0.37937     0.07641      0.1551      15048
W_eff (I src, signed)                 -0.31062      -0.52007     0.07724      0.1957      14977
|W_eff| (E src)                       +0.23267      +0.37937     0.07641      0.1551      15048
|W_eff| (I src)                       +0.31062      +0.52007     0.07724      0.1957      14977
W_in_eff (input neurons)            -0.0036791     -0.015529     0.09946      0.2645       1275
c_E[j=0] (SFA coupling)                  +0.05     +0.051349           0           0        150
c_E[j=1] (SFA coupling)                  +0.05     +0.051349           0           0        150
c_E[j=2] (SFA coupling)                  +0.05     +0.051349           0           0        150
c_0_E[j=0] (SFA offset)                     +0      -0.10566           0           0        150
c_0_E[j=1] (SFA offset)                     +0      -0.10566           0           0        150
c_0_E[j=2] (SFA offset)                     +0      -0.10566           0           0        150
c_I[j=0] (SFA coupling)                  +0.05     +0.053623           0           0        150
c_I[j=1] (SFA coupling)                  +0.05     +0.053623           0           0        150
c_I[j=2] (SFA coupling)                  +0.05     +0.053623           0           0        150
c_0_I[j=0] (SFA offset)                     +0      +0.11367           0           0        150
c_0_I[j=1] (SFA offset)                     +0      +0.11367           0           0        150
c_0_I[j=2] (SFA offset)                     +0      +0.11367           0           0        150
a_0 (threshold)                          +0.35      +0.30654           0           0        300
W_out_eff (readout × gain)         +0.00099875   -0.00040111     0.06582       0.666       1275
readout_bias                                +0     -0.011576           0     0.08749         17
ic.ic (per-variant init)              +0.17477      +0.17477      0.3568      0.3568       1500
