# ring6-400e — variant srnn (k=4)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1      +0.63703           —           —     scalar
tau_d (s)                                 +0.1     +0.033836           0           0        300
tau_a_E[j=0] (s)                         +0.25     +0.044977           0           0        150
tau_a_E[j=1] (s)                       +1.5896      +0.28598           0           0        150
tau_a_E[j=2] (s)                            +4      +0.71963           0           0        150
tau_a_I[j=0] (s)                         +0.25     +0.049557           0           0        150
tau_a_I[j=1] (s)                       +1.5896       +0.3151           0           0        150
tau_a_I[j=2] (s)                            +4      +0.79291           0           0        150
tau_b_rec_E (s)                             +1      +0.25157           0           0        150
tau_b_rel_E (s)                          +0.25      +0.40665           0           0        150
tau_b_rec_I (s)                             +1      +0.21045           0           0        150
tau_b_rel_I (s)                          +0.25      +0.40069           0           0        150
W_eff (E src, signed)                 +0.23267      +0.26156     0.07641      0.1139      15048
W_eff (I src, signed)                 -0.31062       -0.3557     0.07724      0.1482      14977
|W_eff| (E src)                       +0.23267      +0.26156     0.07641      0.1139      15048
|W_eff| (I src)                       +0.31062       +0.3557     0.07724      0.1482      14977
W_in_eff (input neurons)             +0.004538     +0.030117     0.09841      0.2398       1275
c_E[j=0] (SFA coupling)                  +0.05     +0.020863           0           0        150
c_E[j=1] (SFA coupling)                  +0.05     +0.020863           0           0        150
c_E[j=2] (SFA coupling)                  +0.05     +0.020863           0           0        150
c_0_E[j=0] (SFA offset)                     +0      -0.22889           0           0        150
c_0_E[j=1] (SFA offset)                     +0      -0.22889           0           0        150
c_0_E[j=2] (SFA offset)                     +0      -0.22889           0           0        150
c_I[j=0] (SFA coupling)                  +0.05     +0.038609           0           0        150
c_I[j=1] (SFA coupling)                  +0.05     +0.038609           0           0        150
c_I[j=2] (SFA coupling)                  +0.05     +0.038609           0           0        150
c_0_I[j=0] (SFA offset)                     +0      +0.21352           0           0        150
c_0_I[j=1] (SFA offset)                     +0      +0.21352           0           0        150
c_0_I[j=2] (SFA offset)                     +0      +0.21352           0           0        150
a_0 (threshold)                          +0.35      +0.18983           0           0        300
W_out_eff (readout × gain)           -0.001299     -0.018359       0.067       0.648       1275
readout_bias                                +0     +0.050641           0      0.1973         17
ic.ic (per-variant init)               +0.1766       +0.1766      0.3557      0.3557       1500
