epoch,variant,train_loss,train_metric,valid_loss,valid_metric,lr,timestamp
5,srnn-no-adapt-no-dales,0.961817,0.826121,0.937883,0.816062,0.00025000,2026-08-27T03:22:32Z
5,srnn-no-adapt,0.981166,0.834046,0.969758,0.829761,0.00025000,2026-08-27T03:22:32Z
5,srnn-no-dales-skip,0.109602,0.228868,0.106739,0.223976,0.00025000,2026-08-27T03:22:32Z
5,srnn-no-adapt-no-dales-skip,0.117133,0.241288,0.116702,0.240479,0.00025000,2026-08-27T03:22:32Z
5,srnn,0.975620,0.832304,0.963519,0.827762,0.00025000,2026-08-27T03:22:32Z
5,srnn-skip,0.113442,0.235398,0.112478,0.233775,0.00025000,2026-08-27T03:22:32Z
11,srnn-no-adapt-no-dales,0.415343,0.524064,0.371995,0.494630,0.00050000,2026-08-27T03:24:58Z
11,srnn-no-adapt,0.582652,0.613444,0.528323,0.579982,0.00050000,2026-08-27T03:24:58Z
11,srnn-no-dales-skip,0.074405,0.166387,0.071664,0.161607,0.00050000,2026-08-27T03:24:58Z
11,srnn-no-adapt-no-dales-skip,0.092954,0.199305,0.086415,0.186044,0.00050000,2026-08-27T03:24:58Z
11,srnn,0.687898,0.680791,0.651554,0.663003,0.00050000,2026-08-27T03:24:58Z
11,srnn-skip,0.080927,0.178282,0.076708,0.169433,0.00050000,2026-08-27T03:24:58Z
17,srnn-no-adapt-no-dales,0.185066,0.319271,0.171785,0.307274,0.00050000,2026-08-27T03:27:24Z
17,srnn-no-adapt,0.246625,0.374863,0.221598,0.356034,0.00050000,2026-08-27T03:27:24Z
17,srnn-no-dales-skip,0.060409,0.139259,0.059408,0.136930,0.00050000,2026-08-27T03:27:24Z
17,srnn-no-adapt-no-dales-skip,0.063224,0.143247,0.062010,0.140476,0.00050000,2026-08-27T03:27:24Z
17,srnn,0.383317,0.494852,0.358242,0.477775,0.00050000,2026-08-27T03:27:24Z
17,srnn-skip,0.062207,0.142277,0.061236,0.140517,0.00050000,2026-08-27T03:27:24Z
23,srnn-no-adapt-no-dales,0.140705,0.270971,0.130726,0.262274,0.00050000,2026-08-27T03:29:49Z
23,srnn-no-adapt,0.158744,0.287207,0.145133,0.276063,0.00050000,2026-08-27T03:29:49Z
23,srnn-no-dales-skip,0.053665,0.126369,0.052796,0.124448,0.00050000,2026-08-27T03:29:49Z
23,srnn-no-adapt-no-dales-skip,0.057609,0.132417,0.056825,0.130408,0.00050000,2026-08-27T03:29:49Z
23,srnn,0.227297,0.367150,0.210485,0.354226,0.00050000,2026-08-27T03:29:49Z
23,srnn-skip,0.055736,0.130312,0.054872,0.128364,0.00050000,2026-08-27T03:29:49Z
29,srnn-no-adapt-no-dales,0.116728,0.243587,0.108931,0.236355,0.00050000,2026-08-27T03:32:15Z
29,srnn-no-adapt,0.128835,0.254034,0.118420,0.245209,0.00050000,2026-08-27T03:32:15Z
29,srnn-no-dales-skip,0.047777,0.117063,0.046922,0.115307,0.00050000,2026-08-27T03:32:15Z
29,srnn-no-adapt-no-dales-skip,0.054230,0.126820,0.053444,0.125259,0.00050000,2026-08-27T03:32:15Z
29,srnn,0.157816,0.296496,0.146365,0.286449,0.00050000,2026-08-27T03:32:15Z
29,srnn-skip,0.050702,0.121628,0.049911,0.120026,0.00050000,2026-08-27T03:32:15Z
35,srnn-no-adapt-no-dales,0.101488,0.224895,0.094303,0.217750,0.00050000,2026-08-27T03:34:42Z
35,srnn-no-adapt,0.112068,0.235147,0.103305,0.226994,0.00050000,2026-08-27T03:34:42Z
35,srnn-no-dales-skip,0.040751,0.108397,0.039784,0.106330,0.00050000,2026-08-27T03:34:42Z
35,srnn-no-adapt-no-dales-skip,0.050532,0.120974,0.049758,0.119400,0.00050000,2026-08-27T03:34:42Z
35,srnn,0.129562,0.261097,0.120648,0.252877,0.00050000,2026-08-27T03:34:42Z
35,srnn-skip,0.045729,0.115016,0.044883,0.113481,0.00050000,2026-08-27T03:34:42Z
41,srnn-no-adapt-no-dales,0.090652,0.211089,0.084843,0.205315,0.00050000,2026-08-27T03:37:07Z
41,srnn-no-adapt,0.100608,0.222022,0.093064,0.214417,0.00050000,2026-08-27T03:37:07Z
41,srnn-no-dales-skip,0.032851,0.099573,0.031990,0.097625,0.00050000,2026-08-27T03:37:07Z
41,srnn-no-adapt-no-dales-skip,0.047115,0.115677,0.046375,0.114081,0.00050000,2026-08-27T03:37:07Z
41,srnn,0.112746,0.240697,0.105227,0.233196,0.00050000,2026-08-27T03:37:07Z
41,srnn-skip,0.040430,0.108853,0.039646,0.107366,0.00050000,2026-08-27T03:37:07Z
47,srnn-no-adapt-no-dales,0.082427,0.200462,0.076834,0.194161,0.00050000,2026-08-27T03:39:33Z
47,srnn-no-adapt,0.091965,0.211720,0.085125,0.204477,0.00050000,2026-08-27T03:39:33Z
47,srnn-no-dales-skip,0.027034,0.091754,0.026907,0.090185,0.00050000,2026-08-27T03:39:33Z
47,srnn-no-adapt-no-dales-skip,0.043349,0.110706,0.042590,0.108992,0.00050000,2026-08-27T03:39:33Z
47,srnn,0.100257,0.225454,0.093514,0.218254,0.00050000,2026-08-27T03:39:33Z
47,srnn-skip,0.035501,0.103404,0.034765,0.101747,0.00050000,2026-08-27T03:39:33Z
53,srnn-no-adapt-no-dales,0.075252,0.191011,0.070296,0.185061,0.00050000,2026-08-27T03:41:58Z
53,srnn-no-adapt,0.084410,0.202012,0.078203,0.194988,0.00050000,2026-08-27T03:41:58Z
53,srnn-no-dales-skip,0.023406,0.086204,0.023110,0.084653,0.00050000,2026-08-27T03:41:58Z
53,srnn-no-adapt-no-dales-skip,0.039369,0.105751,0.038556,0.103851,0.00050000,2026-08-27T03:41:58Z
53,srnn,0.090078,0.212415,0.084131,0.205656,0.00050000,2026-08-27T03:41:58Z
53,srnn-skip,0.031628,0.098688,0.031089,0.097006,0.00050000,2026-08-27T03:41:58Z
59,srnn-no-adapt-no-dales,0.069021,0.182376,0.064517,0.176496,0.00050000,2026-08-27T03:44:24Z
59,srnn-no-adapt,0.077835,0.193243,0.072377,0.186852,0.00050000,2026-08-27T03:44:24Z
59,srnn-no-dales-skip,0.020922,0.081881,0.020744,0.080530,0.00050000,2026-08-27T03:44:24Z
59,srnn-no-adapt-no-dales-skip,0.035602,0.101157,0.034769,0.099618,0.00050000,2026-08-27T03:44:24Z
59,srnn,0.081808,0.201297,0.076651,0.195122,0.00050000,2026-08-27T03:44:24Z
59,srnn-skip,0.029275,0.095049,0.028896,0.093573,0.00050000,2026-08-27T03:44:24Z
65,srnn-no-adapt-no-dales,0.063892,0.174790,0.060107,0.169598,0.00050000,2026-08-27T03:46:50Z
65,srnn-no-adapt,0.072493,0.185793,0.067557,0.180051,0.00050000,2026-08-27T03:46:50Z
65,srnn-no-dales-skip,0.019012,0.078388,0.019201,0.077404,0.00050000,2026-08-27T03:46:50Z
65,srnn-no-adapt-no-dales-skip,0.032240,0.096902,0.031511,0.095101,0.00050000,2026-08-27T03:46:50Z
65,srnn,0.075219,0.192065,0.070577,0.186271,0.00050000,2026-08-27T03:46:50Z
65,srnn-skip,0.027479,0.092143,0.027218,0.090796,0.00050000,2026-08-27T03:46:50Z
71,srnn-no-adapt-no-dales,0.059535,0.168032,0.056120,0.162995,0.00050000,2026-08-27T03:49:15Z
71,srnn-no-adapt,0.067779,0.178980,0.063220,0.173589,0.00050000,2026-08-27T03:49:15Z
71,srnn-no-dales-skip,0.017543,0.075454,0.017745,0.074377,0.00050000,2026-08-27T03:49:15Z
71,srnn-no-adapt-no-dales-skip,0.029241,0.092845,0.028535,0.091280,0.00050000,2026-08-27T03:49:15Z
71,srnn,0.069680,0.184140,0.065469,0.178784,0.00050000,2026-08-27T03:49:15Z
71,srnn-skip,0.026099,0.089873,0.025868,0.088595,0.00050000,2026-08-27T03:49:15Z
77,srnn-no-adapt-no-dales,0.055728,0.161936,0.052451,0.156773,0.00050000,2026-08-27T03:51:40Z
77,srnn-no-adapt,0.063672,0.172795,0.059247,0.167269,0.00050000,2026-08-27T03:51:40Z
77,srnn-no-dales-skip,0.016415,0.073031,0.016557,0.071986,0.00050000,2026-08-27T03:51:40Z
77,srnn-no-adapt-no-dales-skip,0.026777,0.089348,0.026119,0.087823,0.00050000,2026-08-27T03:51:40Z
77,srnn,0.064783,0.177055,0.061017,0.172113,0.00050000,2026-08-27T03:51:40Z
77,srnn-skip,0.024980,0.087975,0.024948,0.086915,0.00050000,2026-08-27T03:51:40Z
83,srnn-no-adapt-no-dales,0.052477,0.156488,0.049456,0.151637,0.00050000,2026-08-27T03:54:06Z
83,srnn-no-adapt,0.060326,0.167532,0.055899,0.161735,0.00050000,2026-08-27T03:54:06Z
83,srnn-no-dales-skip,0.015519,0.071014,0.015830,0.070183,0.00050000,2026-08-27T03:54:06Z
83,srnn-no-adapt-no-dales-skip,0.024852,0.086512,0.024079,0.084479,0.00050000,2026-08-27T03:54:06Z
83,srnn,0.060583,0.170833,0.057051,0.166001,0.00050000,2026-08-27T03:54:06Z
83,srnn-skip,0.024118,0.086492,0.024156,0.085490,0.00050000,2026-08-27T03:54:06Z
89,srnn-no-adapt-no-dales,0.049570,0.151561,0.046779,0.146841,0.00050000,2026-08-27T03:56:32Z
89,srnn-no-adapt,0.057336,0.162735,0.053198,0.157216,0.00050000,2026-08-27T03:56:32Z
89,srnn-no-dales-skip,0.014819,0.069322,0.015244,0.068574,0.00050000,2026-08-27T03:56:32Z
89,srnn-no-adapt-no-dales-skip,0.023144,0.083974,0.022464,0.082062,0.00050000,2026-08-27T03:56:32Z
89,srnn,0.056782,0.165079,0.053560,0.160533,0.00050000,2026-08-27T03:56:32Z
