# rk4-frz-a0c0e-300e — variant srnn-e-only-skip-per-neuron (k=1)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1      +0.37391           —           —     scalar
tau_d (s)                                 +0.1    +0.0092588           0     0.00493        300
tau_a_E[j=0] (s)                         +0.25     +0.017057           0    0.008919        150
tau_a_E[j=1] (s)                       +4.3832      +0.50498           0     0.04034        150
tau_a_E[j=2] (s)                           +10       +1.1382           0     0.02469        150
tau_b_rec_E (s)                             +1      +0.13224           0     0.03099        150
tau_b_rel_E (s)                          +0.25      +0.41067           0      0.1333        150
W_eff (E src, signed)                 +0.23267      +0.16725     0.07641     0.06634      15048
W_eff (I src, signed)                 -0.31062      -0.21189     0.07724     0.06713      14977
|W_eff| (E src)                       +0.23267      +0.16725     0.07641     0.06634      15048
|W_eff| (I src)                       +0.31062      +0.21189     0.07724     0.06713      14977
W_in_eff (input neurons)           -0.00084237   -0.00022745      0.1008     0.01649       6675
c_E[j=0] (SFA coupling)                  +0.05     +0.061055           0     0.03309        150
c_E[j=1] (SFA coupling)                  +0.05     +0.032305           0    0.009822        150
c_E[j=2] (SFA coupling)                  +0.05     +0.033062           0     0.00887        150
c_0_E[j=0] (SFA offset)                     +0            +0           0           0        150
c_0_E[j=1] (SFA offset)                     +0            +0           0           0        150
c_0_E[j=2] (SFA offset)                     +0            +0           0           0        150
a_0 (threshold)                          +0.35         +0.35           0           0        300
readout_weight                     +0.00078219    -0.0088944     0.06654      0.1712       6675
readout_bias                                +0     +0.096091           0       0.127         89
ic.ic (per-variant init)              +0.10092      +0.10092      0.3832      0.3832        900
