# rk4-frz-a0c0e-300e — variant srnn-sfa-e-only-per-neuron (k=2)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1      +0.30672           —           —     scalar
tau_d (s)                                 +0.1    +0.0050946           0    0.002524        300
tau_a_E[j=0] (s)                         +0.25     +0.012626           0    0.005371        150
tau_a_E[j=1] (s)                       +4.3832        +0.389           0     0.06346        150
tau_a_E[j=2] (s)                           +10      +0.91717           0     0.05339        150
tau_b_rec_E (s)                             +1      +0.30672           0           0        150
tau_b_rel_E (s)                          +0.25     +0.076681           0           0        150
W_eff (E src, signed)                 +0.23267      +0.14209     0.07641     0.05529      15048
W_eff (I src, signed)                 -0.31062       -0.1872     0.07724     0.05725      14977
|W_eff| (E src)                       +0.23267      +0.14209     0.07641     0.05529      15048
|W_eff| (I src)                       +0.31062       +0.1872     0.07724     0.05725      14977
W_in_eff (input neurons)           -0.00015382   -0.00060358     0.09934     0.03697       6675
c_E[j=0] (SFA coupling)                  +0.05      +0.16302           0     0.08614        150
c_E[j=1] (SFA coupling)                  +0.05     +0.078942           0     0.02105        150
c_E[j=2] (SFA coupling)                  +0.05     +0.077687           0     0.01942        150
c_0_E[j=0] (SFA offset)                     +0            +0           0           0        150
c_0_E[j=1] (SFA offset)                     +0            +0           0           0        150
c_0_E[j=2] (SFA offset)                     +0            +0           0           0        150
a_0 (threshold)                          +0.35         +0.35           0           0        300
readout_weight                     -0.00098972    +0.0033037     0.06678      0.2511       6675
readout_bias                                +0     -0.056828           0      0.1019         89
ic.ic (per-variant init)             +0.098719     +0.098719      0.4415      0.4415        900
