# rk4-frz-a0c0e-300e — variant srnn-sfa-e-only-skip-per-neuron (k=3)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1      +0.35111           —           —     scalar
tau_d (s)                                 +0.1    +0.0091446           0    0.002498        300
tau_a_E[j=0] (s)                         +0.25     +0.045267           0     0.01344        150
tau_a_E[j=1] (s)                       +4.3832      +0.94338           0     0.05165        150
tau_a_E[j=2] (s)                           +10        +2.211           0     0.02075        150
tau_b_rec_E (s)                             +1      +0.35111           0           0        150
tau_b_rel_E (s)                          +0.25     +0.087779           0           0        150
W_eff (E src, signed)                 +0.23267      +0.14995     0.07641     0.05247      15048
W_eff (I src, signed)                 -0.31062      -0.19841     0.07724     0.05476      14977
|W_eff| (E src)                       +0.23267      +0.14995     0.07641     0.05247      15048
|W_eff| (I src)                       +0.31062      +0.19841     0.07724     0.05476      14977
W_in_eff (input neurons)            -0.0011621   -0.00028593     0.09962     0.03203       6675
c_E[j=0] (SFA coupling)                  +0.05     +0.052788           0     0.01142        150
c_E[j=1] (SFA coupling)                  +0.05     +0.043313           0    0.008855        150
c_E[j=2] (SFA coupling)                  +0.05     +0.043164           0    0.009024        150
c_0_E[j=0] (SFA offset)                     +0            +0           0           0        150
c_0_E[j=1] (SFA offset)                     +0            +0           0           0        150
c_0_E[j=2] (SFA offset)                     +0            +0           0           0        150
a_0 (threshold)                          +0.35         +0.35           0           0        300
readout_weight                     +0.00016801   +0.00093434      0.0673      0.1085       6675
readout_bias                                +0    -0.0040811           0     0.07401         89
ic.ic (per-variant init)              +0.12557      +0.12557        0.42        0.42        900
