# rk4-frz-a0c0e-300e — variant srnn-std-e-only-per-neuron (k=4)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1      +0.33416           —           —     scalar
tau_d (s)                                 +0.1    +0.0053372           0    0.002804        300
tau_b_rec_E (s)                             +1       +2.1426           0      0.9039        150
tau_b_rel_E (s)                          +0.25       +0.7232           0       0.321        150
W_eff (E src, signed)                 +0.23267      +0.26155     0.07641      0.1251      15048
W_eff (I src, signed)                 -0.31062      -0.30953     0.07724      0.1024      14977
|W_eff| (E src)                       +0.23267      +0.26155     0.07641      0.1251      15048
|W_eff| (I src)                       +0.31062      +0.30953     0.07724      0.1024      14977
W_in_eff (input neurons)           +0.00019944   -0.00017023     0.09994     0.03078       6675
a_0 (threshold)                          +0.35         +0.35           0           0        300
readout_weight                     +0.00074661    -0.0029953     0.06657      0.3847       6675
readout_bias                                +0     -0.057122           0      0.2424         89
ic.ic (per-variant init)             +0.090198     +0.090198      0.3825      0.3825        900
