# rk4-frz-a0c0e-300e — variant srnn-std-e-only-skip-per-neuron (k=5)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1      +0.37143           —           —     scalar
tau_d (s)                                 +0.1    +0.0091822           0    0.004845        300
tau_b_rec_E (s)                             +1      +0.11387           0      0.0255        150
tau_b_rel_E (s)                          +0.25      +0.42433           0      0.1359        150
W_eff (E src, signed)                 +0.23267      +0.16768     0.07641     0.06635      15048
W_eff (I src, signed)                 -0.31062       -0.2127     0.07724     0.06666      14977
|W_eff| (E src)                       +0.23267      +0.16768     0.07641     0.06635      15048
|W_eff| (I src)                       +0.31062       +0.2127     0.07724     0.06666      14977
W_in_eff (input neurons)           +0.00036119   -4.0943e-05     0.09956      0.0164       6675
a_0 (threshold)                          +0.35         +0.35           0           0        300
readout_weight                     +0.00055372    -0.0045908     0.06572      0.1673       6675
readout_bias                                +0     +0.039199           0       0.089         89
ic.ic (per-variant init)             +0.082727     +0.082727      0.3836      0.3836        900
