epoch,variant,train_loss,train_metric,valid_loss,valid_metric,lr,timestamp
11,srnn-e-only-per-neuron,0.998053,0.766034,1.039403,0.779042,0.00025000,2026-05-07T13:45:11Z
11,srnn-e-only-skip-per-neuron,0.104381,0.240754,0.065858,0.191638,0.00025000,2026-05-07T13:45:11Z
11,srnn-sfa-e-only-per-neuron,1.000964,0.767579,1.042905,0.780908,0.00025000,2026-05-07T13:45:11Z
11,srnn-sfa-e-only-skip-per-neuron,0.107594,0.245170,0.067582,0.194717,0.00025000,2026-05-07T13:45:11Z
11,srnn-std-e-only-per-neuron,0.998039,0.766702,1.039268,0.779686,0.00025000,2026-05-07T13:45:11Z
11,srnn-std-e-only-skip-per-neuron,0.104445,0.240849,0.065893,0.191717,0.00025000,2026-05-07T13:45:11Z
23,srnn-e-only-per-neuron,0.978761,0.757604,1.020322,0.771057,0.00050000,2026-05-07T13:53:19Z
23,srnn-e-only-skip-per-neuron,0.107526,0.244701,0.065725,0.191406,0.00050000,2026-05-07T13:53:19Z
23,srnn-sfa-e-only-per-neuron,0.993553,0.764734,1.033748,0.777532,0.00050000,2026-05-07T13:53:19Z
23,srnn-sfa-e-only-skip-per-neuron,0.108499,0.246064,0.066255,0.192395,0.00050000,2026-05-07T13:53:19Z
23,srnn-std-e-only-per-neuron,0.970971,0.758361,1.012813,0.772101,0.00050000,2026-05-07T13:53:19Z
23,srnn-std-e-only-skip-per-neuron,0.107568,0.244759,0.065750,0.191452,0.00050000,2026-05-07T13:53:19Z
35,srnn-e-only-per-neuron,0.936814,0.741786,0.985978,0.759396,0.00050000,2026-05-07T14:01:27Z
35,srnn-e-only-skip-per-neuron,0.103155,0.239004,0.064996,0.190215,0.00050000,2026-05-07T14:01:27Z
35,srnn-sfa-e-only-per-neuron,0.960597,0.752582,1.000012,0.765855,0.00050000,2026-05-07T14:01:27Z
35,srnn-sfa-e-only-skip-per-neuron,0.104719,0.241094,0.065956,0.191841,0.00050000,2026-05-07T14:01:27Z
35,srnn-std-e-only-per-neuron,0.923680,0.740144,0.976638,0.758775,0.00050000,2026-05-07T14:01:27Z
35,srnn-std-e-only-skip-per-neuron,0.103875,0.239936,0.065433,0.190929,0.00050000,2026-05-07T14:01:27Z
47,srnn-e-only-per-neuron,0.886978,0.723633,0.936630,0.742412,0.00050000,2026-05-07T14:09:36Z
47,srnn-e-only-skip-per-neuron,0.106585,0.243709,0.063706,0.188216,0.00050000,2026-05-07T14:09:36Z
47,srnn-sfa-e-only-per-neuron,0.916915,0.736701,0.961452,0.752740,0.00050000,2026-05-07T14:09:36Z
47,srnn-sfa-e-only-skip-per-neuron,0.110826,0.249073,0.065848,0.191638,0.00050000,2026-05-07T14:09:36Z
47,srnn-std-e-only-per-neuron,0.888994,0.726412,0.948235,0.747920,0.00050000,2026-05-07T14:09:36Z
47,srnn-std-e-only-skip-per-neuron,0.107582,0.244971,0.064142,0.188892,0.00050000,2026-05-07T14:09:36Z
59,srnn-e-only-per-neuron,0.836215,0.703798,0.881680,0.721545,0.00050000,2026-05-07T14:17:48Z
59,srnn-e-only-skip-per-neuron,0.105397,0.242673,0.061629,0.185139,0.00050000,2026-05-07T14:17:48Z
59,srnn-sfa-e-only-per-neuron,0.864953,0.716465,0.914721,0.735285,0.00050000,2026-05-07T14:17:48Z
59,srnn-sfa-e-only-skip-per-neuron,0.114184,0.253242,0.065795,0.191540,0.00050000,2026-05-07T14:17:48Z
59,srnn-std-e-only-per-neuron,0.861458,0.715417,0.920190,0.737417,0.00050000,2026-05-07T14:17:48Z
59,srnn-std-e-only-skip-per-neuron,0.105939,0.243305,0.061795,0.185352,0.00050000,2026-05-07T14:17:48Z
71,srnn-e-only-per-neuron,0.777552,0.678881,0.809653,0.691618,0.00050000,2026-05-07T14:25:58Z
71,srnn-e-only-skip-per-neuron,0.095700,0.231270,0.058014,0.180030,0.00050000,2026-05-07T14:25:58Z
71,srnn-sfa-e-only-per-neuron,0.812261,0.694726,0.852325,0.710466,0.00050000,2026-05-07T14:25:58Z
71,srnn-sfa-e-only-skip-per-neuron,0.110741,0.248897,0.065764,0.191482,0.00050000,2026-05-07T14:25:58Z
71,srnn-std-e-only-per-neuron,0.832594,0.703560,0.886104,0.724239,0.00050000,2026-05-07T14:25:58Z
71,srnn-std-e-only-skip-per-neuron,0.097364,0.233183,0.058879,0.181248,0.00050000,2026-05-07T14:25:58Z
83,srnn-e-only-per-neuron,0.703103,0.644863,0.720556,0.651360,0.00050000,2026-05-07T14:34:07Z
83,srnn-e-only-skip-per-neuron,0.094461,0.231356,0.054354,0.174790,0.00050000,2026-05-07T14:34:07Z
83,srnn-sfa-e-only-per-neuron,0.741803,0.663607,0.762786,0.671586,0.00050000,2026-05-07T14:34:07Z
83,srnn-sfa-e-only-skip-per-neuron,0.117622,0.257465,0.065740,0.191436,0.00050000,2026-05-07T14:34:07Z
83,srnn-std-e-only-per-neuron,0.791621,0.685996,0.834902,0.702906,0.00050000,2026-05-07T14:34:07Z
83,srnn-std-e-only-skip-per-neuron,0.097328,0.234589,0.055727,0.176833,0.00050000,2026-05-07T14:34:07Z
95,srnn-e-only-per-neuron,0.616466,0.602265,0.621313,0.603083,0.00050000,2026-05-07T14:42:18Z
95,srnn-e-only-skip-per-neuron,0.084150,0.218158,0.051485,0.170654,0.00050000,2026-05-07T14:42:18Z
95,srnn-sfa-e-only-per-neuron,0.653715,0.621832,0.660023,0.623160,0.00050000,2026-05-07T14:42:18Z
95,srnn-sfa-e-only-skip-per-neuron,0.110714,0.248788,0.065710,0.191383,0.00050000,2026-05-07T14:42:18Z
95,srnn-std-e-only-per-neuron,0.734282,0.660206,0.763377,0.671640,0.00050000,2026-05-07T14:42:18Z
95,srnn-std-e-only-skip-per-neuron,0.086524,0.220956,0.052791,0.172711,0.00050000,2026-05-07T14:42:18Z
107,srnn-e-only-per-neuron,0.520516,0.551289,0.511496,0.544378,0.00050000,2026-05-07T14:50:28Z
107,srnn-e-only-skip-per-neuron,0.080852,0.214318,0.049585,0.167935,0.00050000,2026-05-07T14:50:28Z
107,srnn-sfa-e-only-per-neuron,0.556732,0.572006,0.549473,0.566780,0.00050000,2026-05-07T14:50:28Z
107,srnn-sfa-e-only-skip-per-neuron,0.110746,0.248708,0.065656,0.191296,0.00050000,2026-05-07T14:50:28Z
107,srnn-std-e-only-per-neuron,0.664798,0.627156,0.677273,0.631363,0.00050000,2026-05-07T14:50:28Z
107,srnn-std-e-only-skip-per-neuron,0.082455,0.216216,0.050489,0.169330,0.00050000,2026-05-07T14:50:28Z
119,srnn-e-only-per-neuron,0.434231,0.501746,0.418667,0.490655,0.00050000,2026-05-07T14:58:34Z
119,srnn-e-only-skip-per-neuron,0.076534,0.208385,0.048411,0.166240,0.00050000,2026-05-07T14:58:34Z
119,srnn-sfa-e-only-per-neuron,0.452394,0.513324,0.436606,0.502721,0.00050000,2026-05-07T14:58:34Z
