# rk4-wout-300e — variant srnn-e-only-per-neuron (k=0)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1      +0.36117           —           —     scalar
tau_d (s)                                 +0.1    +0.0059435           0    0.003387        300
tau_a_E[j=0] (s)                         +0.25     +0.014364           0    0.006425        150
tau_a_E[j=1] (s)                       +4.3832      +0.53873           0     0.08523        150
tau_a_E[j=2] (s)                           +10       +1.2049           0     0.07775        150
tau_b_rec_E (s)                             +1       +2.4697           0      0.6851        150
tau_b_rel_E (s)                          +0.25      +0.46061           0      0.1399        150
W_eff (E src, signed)                 +0.23267      +0.28082     0.07641      0.1368      15048
W_eff (I src, signed)                 -0.31062      -0.34389     0.07724      0.1101      14977
|W_eff| (E src)                       +0.23267      +0.28082     0.07641      0.1368      15048
|W_eff| (I src)                       +0.31062      +0.34389     0.07724      0.1101      14977
W_in_eff (input neurons)            -0.0003386    +6.718e-05      0.1012     0.04455       6675
c_E[j=0] (SFA coupling)                  +0.05      +0.32175           0      0.2115        150
c_E[j=1] (SFA coupling)                  +0.05      +0.13592           0     0.03189        150
c_E[j=2] (SFA coupling)                  +0.05      +0.14416           0     0.03062        150
c_0_E[j=0] (SFA offset)                     +0       -0.7737           0      0.1655        150
c_0_E[j=1] (SFA offset)                     +0       -1.0014           0      0.3186        150
c_0_E[j=2] (SFA offset)                     +0       -1.0468           0      0.3779        150
a_0 (threshold)                          +0.35      -0.82632           0      0.1613        300
readout_weight                     -2.8854e-05    +0.0014493     0.06604      0.3687       6675
readout_bias                                +0     +0.023748           0      0.1002         89
ic.ic (per-variant init)              +0.10233      +0.10233      0.3832      0.3832        900
