# rk4-wout-300e — variant srnn-e-only-skip-per-neuron (k=1)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1      +0.37529           —           —     scalar
tau_d (s)                                 +0.1    +0.0095989           0    0.004796        300
tau_a_E[j=0] (s)                         +0.25     +0.022312           0     0.01249        150
tau_a_E[j=1] (s)                       +4.3832      +0.59099           0     0.05747        150
tau_a_E[j=2] (s)                           +10       +1.3304           0      0.0452        150
tau_b_rec_E (s)                             +1      +0.13967           0     0.03327        150
tau_b_rel_E (s)                          +0.25       +0.4179           0      0.1362        150
W_eff (E src, signed)                 +0.23267       +0.1623     0.07641     0.06233      15048
W_eff (I src, signed)                 -0.31062      -0.21008     0.07724     0.06407      14977
|W_eff| (E src)                       +0.23267       +0.1623     0.07641     0.06233      15048
|W_eff| (I src)                       +0.31062      +0.21008     0.07724     0.06407      14977
W_in_eff (input neurons)           -0.00084237    -0.0003466      0.1008     0.01914       6675
c_E[j=0] (SFA coupling)                  +0.05      +0.14153           0     0.07546        150
c_E[j=1] (SFA coupling)                  +0.05     +0.082642           0     0.01972        150
c_E[j=2] (SFA coupling)                  +0.05     +0.085951           0     0.01753        150
c_0_E[j=0] (SFA offset)                     +0      -0.37156           0      0.1258        150
c_0_E[j=1] (SFA offset)                     +0        -0.416           0      0.2162        150
c_0_E[j=2] (SFA offset)                     +0      -0.41887           0      0.2292        150
a_0 (threshold)                          +0.35     -0.057435           0      0.1178        300
readout_weight                     +0.00078219    -0.0061936     0.06654      0.1652       6675
readout_bias                                +0      +0.12832           0      0.1694         89
ic.ic (per-variant init)              +0.10092      +0.10092      0.3832      0.3832        900
