# rk4-wout-300e — variant srnn-sfa-e-only-per-neuron (k=2)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1       +0.3198           —           —     scalar
tau_d (s)                                 +0.1     +0.005601           0    0.002688        300
tau_a_E[j=0] (s)                         +0.25     +0.013493           0    0.006264        150
tau_a_E[j=1] (s)                       +4.3832      +0.47568           0     0.06381        150
tau_a_E[j=2] (s)                           +10       +1.0598           0     0.06605        150
tau_b_rec_E (s)                             +1       +0.3198           0           0        150
tau_b_rel_E (s)                          +0.25      +0.07995           0           0        150
W_eff (E src, signed)                 +0.23267      +0.16148     0.07641      0.0616      15048
W_eff (I src, signed)                 -0.31062      -0.21457     0.07724     0.06388      14977
|W_eff| (E src)                       +0.23267      +0.16148     0.07641      0.0616      15048
|W_eff| (I src)                       +0.31062      +0.21457     0.07724     0.06388      14977
W_in_eff (input neurons)           -0.00015382   -0.00067693     0.09934       0.044       6675
c_E[j=0] (SFA coupling)                  +0.05      +0.45524           0      0.3174        150
c_E[j=1] (SFA coupling)                  +0.05      +0.17414           0     0.05186        150
c_E[j=2] (SFA coupling)                  +0.05      +0.18888           0     0.04269        150
c_0_E[j=0] (SFA offset)                     +0      -0.39567           0       0.179        150
c_0_E[j=1] (SFA offset)                     +0      -0.40352           0      0.2373        150
c_0_E[j=2] (SFA offset)                     +0      -0.40179           0      0.2497        150
a_0 (threshold)                          +0.35      +0.25068           0      0.1195        300
readout_weight                     -0.00098972     +0.003701     0.06678      0.2512       6675
readout_bias                                +0      -0.06826           0      0.1322         89
ic.ic (per-variant init)             +0.098719     +0.098719      0.4415      0.4415        900
