# rk4-wout-300e — variant srnn-sfa-e-only-skip-per-neuron (k=3)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1      +0.38706           —           —     scalar
tau_d (s)                                 +0.1     +0.011607           0     0.00269        300
tau_a_E[j=0] (s)                         +0.25     +0.070031           0     0.01582        150
tau_a_E[j=1] (s)                       +4.3832       +1.3521           0     0.05551        150
tau_a_E[j=2] (s)                           +10       +3.1278           0     0.02274        150
tau_b_rec_E (s)                             +1      +0.38706           0           0        150
tau_b_rel_E (s)                          +0.25     +0.096764           0           0        150
W_eff (E src, signed)                 +0.23267      +0.20496     0.07641     0.07074      15048
W_eff (I src, signed)                 -0.31062      -0.27248     0.07724     0.07366      14977
|W_eff| (E src)                       +0.23267      +0.20496     0.07641     0.07074      15048
|W_eff| (I src)                       +0.31062      +0.27248     0.07724     0.07366      14977
W_in_eff (input neurons)            -0.0011621   -0.00046372     0.09962     0.03058       6675
c_E[j=0] (SFA coupling)                  +0.05     +0.060161           0     0.02322        150
c_E[j=1] (SFA coupling)                  +0.05     +0.053451           0     0.01059        150
c_E[j=2] (SFA coupling)                  +0.05     +0.053542           0     0.01022        150
c_0_E[j=0] (SFA offset)                     +0      -0.05172           0      0.1646        150
c_0_E[j=1] (SFA offset)                     +0     -0.049636           0      0.1857        150
c_0_E[j=2] (SFA offset)                     +0     -0.048053           0      0.1822        150
a_0 (threshold)                          +0.35      +0.28874           0      0.1135        300
readout_weight                     +0.00016801    -0.0040284      0.0673      0.1052       6675
readout_bias                                +0     +0.076065           0      0.1312         89
ic.ic (per-variant init)              +0.12557      +0.12557        0.42        0.42        900
