# rk4-wout-300e — variant srnn-std-e-only-per-neuron (k=4)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1      +0.33251           —           —     scalar
tau_d (s)                                 +0.1    +0.0051415           0    0.002853        300
tau_b_rec_E (s)                             +1       +1.7897           0      0.5016        150
tau_b_rel_E (s)                          +0.25      +0.46015           0      0.1359        150
W_eff (E src, signed)                 +0.23267      +0.20924     0.07641      0.0974      15048
W_eff (I src, signed)                 -0.31062      -0.25784     0.07724     0.08169      14977
|W_eff| (E src)                       +0.23267      +0.20924     0.07641      0.0974      15048
|W_eff| (I src)                       +0.31062      +0.25784     0.07724     0.08169      14977
W_in_eff (input neurons)           +0.00019944   -6.4633e-07     0.09994     0.03827       6675
a_0 (threshold)                          +0.35      -0.85975           0      0.1836        300
readout_weight                     +0.00074661   -0.00094686     0.06657      0.3627       6675
readout_bias                                +0     -0.080185           0      0.2094         89
ic.ic (per-variant init)             +0.090198     +0.090198      0.3825      0.3825        900
