# rk4-wout-300e — variant srnn-std-e-only-skip-per-neuron (k=5)
# Effective values (post-transform). Means/stds computed over the indicated dimension.
effective parameter                  init mean    final mean    init std   final std          n
-----------------------------------------------------------------------------------------------
tau_global (s)                              +1      +0.37503           —           —     scalar
tau_d (s)                                 +0.1    +0.0092527           0    0.004334        300
tau_b_rec_E (s)                             +1      +0.13503           0     0.02779        150
tau_b_rel_E (s)                          +0.25      +0.39409           0      0.1122        150
W_eff (E src, signed)                 +0.23267      +0.16661     0.07641     0.06346      15048
W_eff (I src, signed)                 -0.31062      -0.21652     0.07724     0.06415      14977
|W_eff| (E src)                       +0.23267      +0.16661     0.07641     0.06346      15048
|W_eff| (I src)                       +0.31062      +0.21652     0.07724     0.06415      14977
W_in_eff (input neurons)           +0.00036119   +0.00025925     0.09956     0.01927       6675
a_0 (threshold)                          +0.35     -0.031354           0      0.1263        300
readout_weight                     +0.00055372    -0.0050808     0.06572      0.1581       6675
readout_bias                                +0     +0.030615           0      0.1208         89
ic.ic (per-variant init)             +0.082727     +0.082727      0.3836      0.3836        900
