epoch,variant,train_loss,train_metric,valid_loss,valid_metric,lr,timestamp
11,srnn-e-only-per-neuron,0.997898,0.765908,1.039190,0.778880,0.00025000,2026-05-06T03:35:35Z
11,srnn-e-only-skip-per-neuron,0.104297,0.240635,0.065817,0.191564,0.00025000,2026-05-06T03:35:35Z
11,srnn-sfa-e-only-per-neuron,1.000389,0.767321,1.042356,0.780638,0.00025000,2026-05-06T03:35:35Z
11,srnn-sfa-e-only-skip-per-neuron,0.106491,0.243685,0.067050,0.193795,0.00025000,2026-05-06T03:35:35Z
11,srnn-std-e-only-per-neuron,0.998028,0.766690,1.039266,0.779694,0.00025000,2026-05-06T03:35:35Z
11,srnn-std-e-only-skip-per-neuron,0.104350,0.240716,0.065844,0.191627,0.00025000,2026-05-06T03:35:35Z
23,srnn-e-only-per-neuron,0.973859,0.755641,1.015085,0.768988,0.00050000,2026-05-06T03:43:49Z
23,srnn-e-only-skip-per-neuron,0.107533,0.244706,0.065735,0.191420,0.00050000,2026-05-06T03:43:49Z
23,srnn-sfa-e-only-per-neuron,0.993689,0.764529,1.033648,0.777216,0.00050000,2026-05-06T03:43:49Z
23,srnn-sfa-e-only-skip-per-neuron,0.108112,0.245527,0.066066,0.192047,0.00050000,2026-05-06T03:43:49Z
23,srnn-std-e-only-per-neuron,0.966966,0.756689,1.008054,0.770287,0.00050000,2026-05-06T03:43:49Z
23,srnn-std-e-only-skip-per-neuron,0.107559,0.244743,0.065748,0.191443,0.00050000,2026-05-06T03:43:49Z
35,srnn-e-only-per-neuron,0.917069,0.734502,0.961336,0.750505,0.00050000,2026-05-06T03:52:01Z
35,srnn-e-only-skip-per-neuron,0.103302,0.239187,0.065071,0.190329,0.00050000,2026-05-06T03:52:01Z
35,srnn-sfa-e-only-per-neuron,0.957329,0.751232,0.996336,0.764338,0.00050000,2026-05-06T03:52:01Z
35,srnn-sfa-e-only-skip-per-neuron,0.104535,0.240828,0.065863,0.191664,0.00050000,2026-05-06T03:52:01Z
35,srnn-std-e-only-per-neuron,0.913038,0.735639,0.962060,0.753110,0.00050000,2026-05-06T03:52:01Z
35,srnn-std-e-only-skip-per-neuron,0.104021,0.240125,0.065530,0.191082,0.00050000,2026-05-06T03:52:01Z
47,srnn-e-only-per-neuron,0.857583,0.712080,0.900795,0.729020,0.00050000,2026-05-06T04:00:15Z
47,srnn-e-only-skip-per-neuron,0.105943,0.242921,0.063398,0.187744,0.00050000,2026-05-06T04:00:15Z
47,srnn-sfa-e-only-per-neuron,0.908770,0.733423,0.955914,0.750553,0.00050000,2026-05-06T04:00:15Z
47,srnn-sfa-e-only-skip-per-neuron,0.110709,0.248906,0.065795,0.191534,0.00050000,2026-05-06T04:00:15Z
47,srnn-std-e-only-per-neuron,0.873101,0.719695,0.924361,0.738718,0.00050000,2026-05-06T04:00:15Z
47,srnn-std-e-only-skip-per-neuron,0.107627,0.245006,0.064114,0.188832,0.00050000,2026-05-06T04:00:15Z
59,srnn-e-only-per-neuron,0.800814,0.688637,0.833765,0.702199,0.00050000,2026-05-06T04:08:33Z
59,srnn-e-only-skip-per-neuron,0.104705,0.241857,0.061200,0.184428,0.00050000,2026-05-06T04:08:33Z
59,srnn-sfa-e-only-per-neuron,0.853344,0.711607,0.901693,0.730322,0.00050000,2026-05-06T04:08:33Z
59,srnn-sfa-e-only-skip-per-neuron,0.114090,0.253108,0.065749,0.191452,0.00050000,2026-05-06T04:08:33Z
59,srnn-std-e-only-per-neuron,0.832292,0.702867,0.878899,0.720918,0.00050000,2026-05-06T04:08:33Z
59,srnn-std-e-only-skip-per-neuron,0.106282,0.243622,0.062073,0.185689,0.00050000,2026-05-06T04:08:33Z
71,srnn-e-only-per-neuron,0.723576,0.654183,0.743577,0.662644,0.00050000,2026-05-06T04:16:48Z
71,srnn-e-only-skip-per-neuron,0.095681,0.231188,0.058005,0.179949,0.00050000,2026-05-06T04:16:48Z
71,srnn-sfa-e-only-per-neuron,0.792513,0.686076,0.826278,0.699655,0.00050000,2026-05-06T04:16:48Z
71,srnn-sfa-e-only-skip-per-neuron,0.110609,0.248717,0.065682,0.191342,0.00050000,2026-05-06T04:16:48Z
71,srnn-std-e-only-per-neuron,0.776053,0.678616,0.809954,0.692287,0.00050000,2026-05-06T04:16:48Z
71,srnn-std-e-only-skip-per-neuron,0.097953,0.233780,0.059339,0.181851,0.00050000,2026-05-06T04:16:48Z
83,srnn-e-only-per-neuron,0.637049,0.612574,0.641916,0.614201,0.00050000,2026-05-06T04:25:02Z
83,srnn-e-only-skip-per-neuron,0.094728,0.231588,0.054386,0.174802,0.00050000,2026-05-06T04:25:02Z
83,srnn-sfa-e-only-per-neuron,0.714338,0.650800,0.729468,0.656833,0.00050000,2026-05-06T04:25:02Z
83,srnn-sfa-e-only-skip-per-neuron,0.117250,0.257003,0.065511,0.191067,0.00050000,2026-05-06T04:25:02Z
83,srnn-std-e-only-per-neuron,0.705469,0.646322,0.721749,0.652875,0.00050000,2026-05-06T04:25:02Z
83,srnn-std-e-only-skip-per-neuron,0.097556,0.234818,0.055904,0.177070,0.00050000,2026-05-06T04:25:02Z
95,srnn-e-only-per-neuron,0.542612,0.563406,0.535633,0.558824,0.00050000,2026-05-06T04:33:19Z
95,srnn-e-only-skip-per-neuron,0.084558,0.218550,0.051636,0.170779,0.00050000,2026-05-06T04:33:19Z
95,srnn-sfa-e-only-per-neuron,0.620464,0.605084,0.622063,0.604977,0.00050000,2026-05-06T04:33:19Z
95,srnn-sfa-e-only-skip-per-neuron,0.109604,0.247429,0.065085,0.190393,0.00050000,2026-05-06T04:33:19Z
95,srnn-std-e-only-per-neuron,0.622143,0.605579,0.624410,0.605903,0.00050000,2026-05-06T04:33:19Z
95,srnn-std-e-only-skip-per-neuron,0.086357,0.220727,0.052681,0.172460,0.00050000,2026-05-06T04:33:19Z
107,srnn-e-only-per-neuron,0.452575,0.512559,0.435964,0.501589,0.00050000,2026-05-06T04:41:34Z
107,srnn-e-only-skip-per-neuron,0.081376,0.214859,0.049845,0.168192,0.00050000,2026-05-06T04:41:34Z
107,srnn-sfa-e-only-per-neuron,0.520414,0.552063,0.510467,0.545718,0.00050000,2026-05-06T04:41:34Z
107,srnn-sfa-e-only-skip-per-neuron,0.108293,0.245758,0.064394,0.189319,0.00050000,2026-05-06T04:41:34Z
107,srnn-std-e-only-per-neuron,0.532312,0.558179,0.522719,0.552013,0.00050000,2026-05-06T04:41:34Z
107,srnn-std-e-only-skip-per-neuron,0.082281,0.215959,0.050326,0.169018,0.00050000,2026-05-06T04:41:34Z
119,srnn-e-only-per-neuron,0.391291,0.475743,0.372176,0.462455,0.00050000,2026-05-06T04:49:45Z
119,srnn-e-only-skip-per-neuron,0.077043,0.208970,0.048675,0.166546,0.00050000,2026-05-06T04:49:45Z
119,srnn-sfa-e-only-per-neuron,0.419957,0.493577,0.401454,0.481292,0.00050000,2026-05-06T04:49:45Z
119,srnn-sfa-e-only-skip-per-neuron,0.103350,0.239497,0.063541,0.187973,0.00050000,2026-05-06T04:49:45Z
119,srnn-std-e-only-per-neuron,0.445374,0.508457,0.428828,0.497481,0.00050000,2026-05-06T04:49:45Z
119,srnn-std-e-only-skip-per-neuron,0.077439,0.209467,0.048864,0.166879,0.00050000,2026-05-06T04:49:45Z
131,srnn-e-only-per-neuron,0.355301,0.453015,0.333964,0.437847,0.00050000,2026-05-06T04:57:59Z
131,srnn-e-only-skip-per-neuron,0.077898,0.210717,0.047900,0.165432,0.00050000,2026-05-06T04:57:59Z
131,srnn-sfa-e-only-per-neuron,0.356869,0.454160,0.333303,0.437650,0.00050000,2026-05-06T04:57:59Z
131,srnn-sfa-e-only-skip-per-neuron,0.105060,0.241877,0.062802,0.186858,0.00050000,2026-05-06T04:57:59Z
131,srnn-std-e-only-per-neuron,0.390887,0.475600,0.369933,0.461289,0.00050000,2026-05-06T04:57:59Z
131,srnn-std-e-only-skip-per-neuron,0.078182,0.211082,0.047973,0.165527,0.00050000,2026-05-06T04:57:59Z
143,srnn-e-only-per-neuron,0.332373,0.438270,0.309009,0.421246,0.00050000,2026-05-06T05:06:13Z
143,srnn-e-only-skip-per-neuron,0.079123,0.212901,0.047372,0.164620,0.00050000,2026-05-06T05:06:13Z
143,srnn-sfa-e-only-per-neuron,0.322246,0.431468,0.296610,0.413079,0.00050000,2026-05-06T05:06:13Z
143,srnn-sfa-e-only-skip-per-neuron,0.106928,0.244529,0.062192,0.185995,0.00050000,2026-05-06T05:06:13Z
143,srnn-std-e-only-per-neuron,0.358258,0.455198,0.333495,0.437953,0.00050000,2026-05-06T05:06:13Z
143,srnn-std-e-only-skip-per-neuron,0.079332,0.213180,0.047362,0.164611,0.00050000,2026-05-06T05:06:13Z
155,srnn-e-only-per-neuron,0.310503,0.423351,0.291018,0.408772,0.00050000,2026-05-06T05:14:28Z
155,srnn-e-only-skip-per-neuron,0.073744,0.204908,0.046947,0.163954,0.00050000,2026-05-06T05:14:28Z
155,srnn-sfa-e-only-per-neuron,0.294128,0.411823,0.272368,0.395547,0.00050000,2026-05-06T05:14:28Z
155,srnn-sfa-e-only-skip-per-neuron,0.098691,0.234176,0.061111,0.184491,0.00050000,2026-05-06T05:14:28Z
155,srnn-std-e-only-per-neuron,0.328863,0.435800,0.307146,0.420279,0.00050000,2026-05-06T05:14:28Z
155,srnn-std-e-only-skip-per-neuron,0.073908,0.205126,0.046902,0.163881,0.00050000,2026-05-06T05:14:28Z
167,srnn-e-only-per-neuron,0.297736,0.414703,0.277797,0.399474,0.00050000,2026-05-06T05:22:42Z
167,srnn-e-only-skip-per-neuron,0.073143,0.204135,0.046641,0.163472,0.00050000,2026-05-06T05:22:42Z
167,srnn-sfa-e-only-per-neuron,0.277765,0.400172,0.256327,0.383931,0.00050000,2026-05-06T05:22:42Z
167,srnn-sfa-e-only-skip-per-neuron,0.096082,0.231313,0.059747,0.182625,0.00050000,2026-05-06T05:22:42Z
167,srnn-std-e-only-per-neuron,0.311363,0.424062,0.289812,0.408520,0.00050000,2026-05-06T05:22:42Z
