epoch,variant,train_loss,train_metric,valid_loss,valid_metric,lr,timestamp
0,srnn-no-adapt-no-dales,9.725515,1.701310,17.371308,2.357461,0.00050000,2026-08-26T00:53:39Z
0,srnn-no-adapt,9.897069,1.721519,17.422074,2.360339,0.00050000,2026-08-26T00:53:39Z
0,srnn-no-dales-skip,32.466717,2.868328,62.236512,4.307196,0.00050000,2026-08-26T00:53:39Z
0,srnn-no-adapt-no-dales-skip,32.574233,3.017740,62.553661,4.429810,0.00050000,2026-08-26T00:53:39Z
0,srnn,9.707684,1.649897,17.368282,2.326131,0.00050000,2026-08-26T00:53:39Z
0,srnn-skip,32.467441,2.868218,62.214039,4.305427,0.00050000,2026-08-26T00:53:39Z
1,srnn-no-adapt-no-dales,11.015505,1.803312,17.374047,2.335932,0.00050000,2026-08-26T01:08:42Z
1,srnn-no-adapt,11.147076,1.819912,17.381326,2.336606,0.00050000,2026-08-26T01:08:42Z
1,srnn-no-dales-skip,38.381616,3.202923,62.245405,4.307219,0.00050000,2026-08-26T01:08:42Z
1,srnn-no-adapt-no-dales-skip,38.418748,3.292518,62.508209,4.380258,0.00050000,2026-08-26T01:08:42Z
1,srnn,11.050066,1.786498,17.367317,2.321360,0.00050000,2026-08-26T01:08:42Z
1,srnn-skip,38.388517,3.203153,62.221222,4.305889,0.00050000,2026-08-26T01:08:42Z
2,srnn-no-adapt-no-dales,10.589816,1.750016,17.360885,2.318973,0.00050000,2026-08-26T01:23:43Z
2,srnn-no-adapt,10.682008,1.764816,17.358890,2.325595,0.00050000,2026-08-26T01:23:43Z
2,srnn-no-dales-skip,37.146228,3.151374,62.241199,4.306664,0.00050000,2026-08-26T01:23:43Z
2,srnn-no-adapt-no-dales-skip,37.185081,3.203132,62.449166,4.351548,0.00050000,2026-08-26T01:23:43Z
2,srnn,10.631786,1.748319,17.363717,2.317574,0.00050000,2026-08-26T01:23:43Z
2,srnn-skip,37.148206,3.151621,62.222513,4.305730,0.00050000,2026-08-26T01:23:43Z
